symbol,qty,entry_px,entry_date
IDEA,389,12.87,2026-07-30
GVT&D,1,4202.30,2026-07-30
ADANIPOWER,24,208.97,2026-07-30
MCX,2,2677.00,2026-07-30
ADANIENSOL,3,1659.00,2026-07-30
NATIONALUM,14,347.65,2026-07-30
BHARATFORG,2,2164.70,2026-07-30
BHEL,12,403.00,2026-07-30
LAURUSLABS,3,1781.30,2026-07-30
SHRIRAMFIN,5,1027.20,2026-07-30
FEDERALBNK,14,354.15,2026-07-30
CUMMINSIND,1,5396.00,2026-07-30
BSE,1,3530.30,2026-07-30
LTF,16,306.25,2026-07-30
ABCAPITAL,13,394.05,2026-07-30
NAM-INDIA,4,1146.90,2026-07-30
ADANIGREEN,4,1358.70,2026-07-30
NYKAA,15,333.75,2026-07-30
RADICO,1,4340.80,2026-07-31
