date,stocks_value,stocks_pnl,condor_pts,condor_rs,nav,nifty,vix,condor_status,note
2026-07-30,92999,-0,-14.1,-914,199086,24317.2,12.15,open,
2026-07-31,94427,+1428,-8.2,-535,200893,24383.6,11.76,open,REBALANCE: 2 paper orders
2026-08-03,94938,+2594,-34.1,-2217,200378,24774.3,11.93,open,
2026-08-04,95006,+2662,-16.7,-1085,201578,24614.9,12.19,open,
2026-08-05,94863,+2519,-13.9,-905,201614,24624.7,12.06,open,
2026-08-06,94426,+2082,-14.0,-913,201169,24626.8,12.36,open,
2026-08-07,94044,+1700,-3.7,-242,201458,24570.7,12.16,open,
2026-08-10,94474,+2130,+4.0,+257,202387,24583.8,12.24,open,
2026-08-11,94555,+2212,+22.8,+1483,203695,24471.7,11.85,open,
2026-08-12,95400,+3056,+31.7,+2062,205118,24435.9,11.69,open,
2026-08-13,94959,+2615,+41.9,+2723,205339,24395.8,11.42,open,
2026-08-14,94420,+2076,+49.6,+3221,205297,24366.0,11.31,open,
2026-08-17,94707,+2363,+67.6,+4391,206755,24287.7,11.32,open,
2026-08-18,94775,+2432,+70.9,+4606,207038,24154.9,11.39,open,
2026-08-19,93996,+1652,+71.8,+4665,206317,24078.3,11.32,open,
2026-08-20,94513,+2170,+84.0,+5459,207629,24231.8,10.76,open,
2026-08-21,94918,+2574,+85.9,+5586,208160,24252.0,11.19,open,
2026-08-24,95114,+2771,+89.4,+5811,208581,24219.1,11.52,open,
2026-08-25,96069,+3725,+89.4,+5811,209536,24334.6,11.07,closed,CONDOR SETTLED at expiry: +89.4 pts
2026-08-26,96081,+3737,+89.4,+5811,209548,24207.8,10.56,closed,
2026-08-27,96081,+3737,+89.4,+5811,209548,24207.8,10.57,closed,
2026-08-28,96455,+4111,+89.4,+5811,209922,24090.8,11.07,closed,
2026-08-31,95966,+3622,+89.4,+5811,209433,24175.7,10.68,closed,REBALANCE: 7 paper orders
2026-09-01,88018,+1305,+89.4,+5811,207116,24055.8,11.19,closed,
2026-09-02,87840,+1127,+89.4,+5811,206938,23914.4,11.59,closed,
2026-09-03,87752,+1039,+89.4,+5811,206850,23873.4,11.34,closed,
2026-09-04,88014,+1301,+89.4,+5811,207112,23897.7,10.68,closed,
2026-09-07,88258,+1545,+89.4,+5811,207356,23779.2,11.16,closed,
2026-09-08,89347,+2634,+89.4,+5811,208445,23635.1,11.16,closed,
